Index,"('infinite_sources_0', 'i_bus_d')","('infinite_sources_0', 'i_bus_q')","('pa_rc_0', 'v_bus_D')","('pa_rc_0', 'v_bus_Q')","('', 'x0')","('', 'x1')","('', 'x2')","('', 'x3')","('', 'x4')","('', 'x5')","('', 'x6')","('', 'x7')","('', 'x8')","('', 'x9')"
"('infinite_sources_0', 'i_bus_d')",-7.5398223686155035,376.99111843077515,-753.8652700643909,-13.280364960717803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('infinite_sources_0', 'i_bus_q')",-376.99111843077515,-7.5398223686155035,13.280364960717803,-753.8652700643909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('pa_rc_0', 'v_bus_D')",5653.989497212984,-99.60273670736983,-282.7433374093647,376.99111843077515,-543.0696693344141,-39.26883932349056,-1260.0481792756134,347.99587138572423,2619.516566856105,-3698.4823361592967,1519.1559774404323,-211.40769666696187,-1331.5287881207971,842.5801356283887
"('pa_rc_0', 'v_bus_Q')",99.60273670736983,5653.989497212984,-376.99111843077515,-282.7433374093647,-901.7440077561058,154.97010437213916,2049.9851149927836,-1510.164574948407,-244.21981139875524,-1514.7196192996757,-3697.1799737940732,808.1472718715391,-531.870324602303,-235.67964299464725
"('', 'x0')",0.0,0.0,-61.57314487232906,-350.6867657750884,-648.4041310035026,-131.78622247408518,2617.4925833986313,28.55174113578463,-784.95865004822,6.051271567667355,1.8369314362460742,552.3853101144257,-425.99937602685327,-1009.0073187841857
"('', 'x1')",0.0,0.0,-130.12376025256972,-59.43742200148677,2197.7642665926855,-581.3880856879418,4578.495691798026,-522.343977410818,-2972.4244294619207,4.139278560581916,1.6374285501026333,389.23803034885077,2095.8156829150935,-546.6471885982215
"('', 'x2')",0.0,0.0,432.1682870252013,-89.30624246142676,289.11835077873747,-1839.133131060214,270.01376968558543,2.416022967584637,-533.2597813983299,-0.06398400716352194,1.2674504988491904,-231.5102361143753,142.70779352630743,-172.9837316784667
"('', 'x3')",0.0,0.0,-24.436322134453633,125.78112864021355,-227.89771602598333,24.108502435382192,97.87904445385625,25.474874628357167,190.39024738213615,0.6996471434357221,0.15498099693726353,-226.48353190413786,-230.75938456831776,-154.89470915870453
"('', 'x4')",0.0,0.0,-122.5857267106643,28.93954390036374,92.42695872519538,-217.95472009080652,-274.09244047191294,-105.27716101755352,28.182788389414267,-0.7323364658672356,-0.04626826138338832,-68.14315435377722,-64.05033837438005,-163.80290517639554
"('', 'x5')",0.0,0.0,493.786279408949,201.0474623403102,0.2043106357812629,0.25899488023725276,-0.18237484648035326,-0.011900697312073863,0.009711545937684396,-6.346819949674308,377.0129012727259,-0.003619691833389494,-0.002742950394111316,0.006930591402230874
"('', 'x6')",0.0,0.0,-201.046952349206,493.78729004494164,-0.5676231111951423,-0.045020942829464096,0.7924817785312402,0.1566384632487886,0.2651435615852271,-377.01171380649777,-6.346079868653583,-0.0005020443424719565,0.010082179762616664,-0.005693621387051405
"('', 'x7')",0.0,0.0,-51.8544491545573,-163.50879172092485,278.3347156243752,-214.78978492854114,-395.19916497245805,-95.56765946314873,-172.76682040540297,-1.4114304333490566,-0.20756007438867974,262.81198907781396,172.99891943570825,69.64677572848561
"('', 'x8')",0.0,0.0,-66.9067782387414,-240.38543078857435,-240.39927623703602,317.8465250689137,-1991.9385312942886,46.61031816739144,688.7710238604335,-3.405410462674553,-1.1396248146353518,390.5963018134029,-284.68392400779595,407.70073716421615
"('', 'x9')",0.0,0.0,227.1307149642725,-67.63094287358628,492.46678867490937,802.6562189137144,642.2207557408564,134.32317140118903,-442.98078837474907,0.28984133095673537,-0.4772119691490477,277.50962061169463,829.133634389992,154.94930074214454
