Index,"('', 'u0')","('', 'u1')","('', 'u2')","('', 'u3')"
"('', 'y0')",0.0,0.0,0.0,0.0
"('', 'y1')",0.0,0.0,0.0,0.0
"('', 'y2')",0.0,0.0,-4.458502448645779e-18,-1.0359874203847436e-17
"('', 'y3')",0.0,0.0,0.0,0.0
"('', 'y4')",0.0,0.0,0.17256191981499958,0.4009686665532404
"('', 'y5')",0.0,0.0,-0.4009686665532395,0.17256191981500585
"('', 'y6')",0.0,0.0,-0.7103965069035758,-1.6506929246184634
"('', 'y7')",0.0,0.0,1.6506929246184066,-0.7103965069035609
"('', 'y8')",0.0,0.0,-0.17256191981499902,-0.4009686665532411
"('', 'y9')",0.0,0.0,0.4009686665532395,-0.1725619198150066
