Index,"('infinite_sources_1', 'i_bus_d')","('infinite_sources_1', 'i_bus_q')","('pa_rc_1', 'v_bus_D')","('pa_rc_1', 'v_bus_Q')","('', 'x0')","('', 'x1')","('', 'x2')","('', 'x3')"
"('', 'y0')",0.9999122798006764,-0.013245101125090697,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y1')",0.013245101125090697,0.9999122798006764,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y2')",0.0,0.0,1.0,-6.651951541591538e-17,1.3163028604105067e-31,2.054100652805352e-31,-1.3252516448381446e-15,-7.028069141673755e-16
"('', 'y3')",0.0,0.0,-1.2826215460338135e-17,1.0,0.0,0.0,0.0,0.0
"('', 'y4')",0.0,0.0,0.16182710763645425,0.4054201215550871,0.5168548166410123,-19.409378648717485,51.08443205032216,11.173642783415863
"('', 'y5')",0.0,0.0,-0.4054201215550869,0.16182710763646035,-19.409378648717514,-0.5168548166410362,11.173642783416332,-51.08443205032307
"('', 'y6')",0.0,0.0,-0.6662038305467063,-1.6690185093554704,2.0973341718065772e-14,3.2729059709824775e-14,-211.15927379319763,-111.98190033602718
"('', 'y7')",0.0,0.0,1.6690185093554153,-0.6662038305466921,1.1262125782175316e-13,7.674186419076262e-14,-111.98190033602422,211.15927379319444
"('', 'y8')",0.0,0.0,-0.1618271076364537,-0.4054201215550878,0.5168548166410305,-19.409378648717464,-51.08443205032227,-11.173642783415785
"('', 'y9')",0.0,0.0,0.4054201215550869,-0.16182710763646105,-19.409378648717468,-0.5168548166410074,-11.173642783416424,51.084432050323095
