Index,"('', 'u0')","('', 'u1')","('', 'u2')","('', 'u3')"
"('infinite_sources_1', 'i_bus_d')",1884.9555921538758,0.0,0.0,0.0
"('infinite_sources_1', 'i_bus_q')",0.0,1884.9555921538758,0.0,0.0
"('pa_rc_1', 'v_bus_D')",0.0,0.0,-975.8146623652,-2267.424379556922
"('pa_rc_1', 'v_bus_Q')",0.0,0.0,2267.4243795569123,-975.8146623652427
"('', 'x0')",0.0,0.0,-1.0260704450131894e-15,-19.416259125556998
"('', 'x1')",0.0,0.0,-19.41625912555708,2.050516149261291e-14
"('', 'x2')",0.0,0.0,151.45135920363435,-91.43876498617153
"('', 'x3')",0.0,0.0,-91.43876498617064,-151.4513592036377
