Index,"('infinite_sources_1', 'i_bus_d')","('infinite_sources_1', 'i_bus_q')","('pa_rc_1', 'v_bus_D')","('pa_rc_1', 'v_bus_Q')","('', 'x0')","('', 'x1')","('', 'x2')","('', 'x3')"
"('', 'y0')",0.9999122798006764,-0.013245101125090697,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y1')",0.013245101125090697,0.9999122798006764,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y2')",0.0,0.0,1.0,8.075512124485858e-17,-1.267568634231332e-17,2.1800599134015847e-17,-2.1704712571288395e-15,-1.3841975934541582e-15
"('', 'y3')",0.0,0.0,8.921724008891663e-18,1.0000000000000002,0.0,0.0,0.0,0.0
"('', 'y4')",0.0,0.0,0.17419407760940403,0.47896473371374176,-17.06957019411024,-1.0281521880444386,40.39261783849697,44.81196844061572
"('', 'y5')",0.0,0.0,-0.47896473371374654,0.17419407760939712,-1.0281521880444726,17.06957019411035,-44.811968440616894,40.39261783849639
"('', 'y6')",0.0,0.0,-0.6177420710833537,-1.6985460736708666,-1.164706806266504,2.003150401987778,-199.4339854832997,-127.18714511987118
"('', 'y7')",0.0,0.0,1.6985460736708642,-0.6177420710833323,2.003150401987865,1.164706806266095,127.18714511987311,-199.43398548329677
"('', 'y8')",0.0,0.0,-0.176763505224043,-0.4860296421775206,-17.373960807761605,0.11941189242164209,-41.080568673563036,-45.420930356672834
"('', 'y9')",0.0,0.0,0.48602964217752254,-0.17676350522403805,0.11941189242171252,17.373960807761517,45.42093035667358,-41.080568673562524
