bus,timepoint,generator_dispatch_MW,load_shedding_MW,load_MW,net_line_leaving_flow_MW
lima,t_1,-69.04077956682313,-9.974940963069624e-9,0.0,-69.04077957676964
santiago,t_1,80.0,-9.97494096281436e-9,0.0,79.99999998999941
