bus,timepoint,generator_dispatch_MVAR,load_shedding_MVAR,load_MVAR,net_line_leaving_flow_MVAR
lima,t_1,-37.9492675668311,-9.974940964295529e-9,0.0,-37.949267576807614
santiago,t_1,50.241259638158475,-9.974940965925015e-9,0.0,50.24125962836832
