generator,Capacity_MW
cec23_1089,0.0
cec23_1090,0.0
cec23_1091,0.0
cec23_1092,0.0
cec23_1093,0.0
cec23_1094,0.0
cec23_1095,0.0
cec23_1096,0.0
cec23_1097,0.0
cec23_1098,0.0
cec23_1099,0.0
cec23_1100,0.0
cec23_1101,0.0
cec23_1102,0.0
cec23_1103,0.0
cec23_1104,0.0
cec23_1105,0.0
cec23_1106,0.0
cec23_1107,0.0
cec23_1108,0.0
cec23_1109,0.0
cec23_1110,0.0
cec23_1111,0.0
cec23_1112,0.0
cec23_1113,0.0
cec23_1114,0.0
cec23_1115,0.0
cec23_1116,0.0
cec23_1117,0.0
cec23_1118,0.0
cec23_1119,0.0
cec23_1120,0.0
cec23_1121,0.0
cec23_1122,0.0
cec23_1123,0.0
cec23_1124,0.0
cec23_1125,0.0
cec23_1126,0.0
cec23_1127,0.0
cec23_1128,0.0
cec23_1129,0.0
cec23_1130,0.0
cec23_1131,0.0
cec23_1132,0.0
cec23_1133,0.0
cec23_1134,0.0
cec23_1135,0.0
cec23_1136,0.0
cec23_1137,0.0
cec23_1138,0.0
cec23_1139,0.0
cec23_1140,0.0
cec23_1141,0.0
cec23_1142,0.0
cec23_1143,0.0
cec23_1144,0.0
cec23_1145,0.0
cec23_1146,0.0
cec23_1147,0.0
cec23_1148,0.0
cec23_1149,0.0
cec23_1150,0.0
cec23_1151,0.0
cec23_1152,0.0
cec23_1153,0.0
cec23_1154,0.0
cec23_1155,0.0
cec23_1156,0.0
cec23_1157,0.0
cec23_1158,0.0
cec23_1159,0.0
cec23_1160,0.0
cec23_1161,0.0
cec23_1162,0.0
cec23_1163,0.0
cec23_1164,0.0
cec23_1165,0.0
cec23_1166,0.0
cec23_1167,0.0
cec23_1168,0.0
cec23_1169,0.0
cec23_1170,0.0
cec23_1171,0.0
cec23_1172,0.0
cec23_1173,0.0
cec23_1174,0.0
cec23_1175,0.0
cec23_1176,0.0
cec23_1177,0.0
cec23_1178,0.0
cec23_1179,0.0
cec23_1180,0.0
cec23_1181,0.0
cec23_1182,0.0
cec23_1183,0.0
cec23_1184,0.0
cec23_1185,0.0
cec23_1186,0.0
cec23_1187,0.0
cec23_1188,0.0
cec23_1189,0.0
cec23_1190,0.0
cec23_1191,0.0
cec23_1192,0.0
cec23_1193,0.0
cec23_1194,0.0
cec23_1195,0.0
cec23_1196,0.0
cec23_1197,0.0
cec23_1198,0.0
cec23_1199,0.0
cec23_1200,0.0
cec23_1201,0.0
cec23_1202,0.0
cec23_1203,0.0
cec23_1204,0.0
cec23_1205,0.0
cec23_1206,0.0
cec23_1207,0.0
cec23_1208,0.0
cec23_1209,0.0
cec23_1210,0.0
cec23_1211,0.0
