bus,timepoint,active_load_shedding_MW,reactive_load_shedding_MVAR
lima,timepoint_1,-9.974940964403198e-9,-9.9749409644032e-9
santiago,timepoint_1,-9.974940964403193e-9,-9.97494096440319e-9
