bus,timepoint,generator_dispatch_MVAR,load_shedding_MVAR,load_MVAR,net_line_leaving_flow_MVAR
lima,timepoint_1,-6.089312556224644,-9.974940903765473e-9,0.0,-6.0893125661998
santiago,timepoint_1,-7.192148039855844,-9.974940935283344e-9,0.0,-7.1921480493693934
