bus_idx,v_min,v_max,p_load,q_load,vmag,vphase,pgen,qgen
1,1.0,1.0,0.0,0.0,1.0,0.0,-0.6818344482998117,-0.5027308874817545
2,0.95,1.3,0.0,0.0,1.1037048052538914,7.392353488655026,0.8,0.5
