Index,"('', 'u0')","('', 'u1')","('', 'u2')","('', 'u3')","('', 'u4')","('', 'u5')","('', 'u6')"
"('infinite_sources_0', 'i_bus_d')",753.9822368615503,0.0,0.0,0.0,0.0,0.0,0.0
"('infinite_sources_0', 'i_bus_q')",0.0,753.9822368615503,0.0,0.0,0.0,0.0,0.0
"('pa_rc_0', 'v_bus_D')",0.0,0.0,-784.2884530629705,-289.2555220971858,-218.64373062787558,7.540332226084759,754.0332226084761
"('pa_rc_0', 'v_bus_Q')",0.0,0.0,66.62438756200282,525.5992907268129,1467.5043927485253,0.6248485400673844,62.484854006738296
"('', 'x0')",0.0,0.0,-1077.9044980219167,-486.7206043565784,-630.2705917252047,24.782778839739983,2478.277883973998
"('', 'x1')",0.0,0.0,-393.36489212607745,-274.7970803396553,730.822927359536,13.499294764408639,1349.9294764408637
"('', 'x2')",0.0,0.0,640.8931106981281,906.6313727847955,635.0402244746692,-38.792574786199836,-3879.257478619983
"('', 'x3')",0.0,0.0,92.62956398253772,-674.2182995918429,-1219.7043502576785,-13.107984719542422,-1310.7984719542426
"('', 'x4')",0.0,0.0,319.84771341276394,-242.4934595378084,116.31704504668097,24.345589432479915,2434.558943247991
"('', 'x5')",0.0,0.0,-1272.1563467031144,-1087.7469515850883,-1242.2714062527255,45.652624451326695,4565.262445132669
"('', 'x6')",0.0,0.0,-645.3264514053193,218.10027369397358,1728.5684672631405,17.50690467244398,1750.6904672443984
"('', 'x7')",0.0,0.0,-165.5712593980056,-1186.0478665974804,-1148.9765242466763,19.238968189202154,1923.896818920216
"('', 'x8')",0.0,0.0,-604.3958367390072,333.2482830690832,319.64505179083955,17.499822361332185,1749.9822361332185
"('', 'x9')",0.0,0.0,445.3430621419758,942.5055212574307,842.4111717391387,0.28711207401251915,28.711207401251826
