%f,%s,%d,%f,%f,%f,%f,%f,%f,%f,%f,%f,%f,%f,%f,%f,%f,%f,%f,%f,%f,%f,%f,%f,%f,%f,%f,%f,%f
n,name,zone,bus,p_min,p_max,q_min,q_max,sbase,vbase,fbase,h,kd,droop_q,tau,vdc,rf1,lf1,cf,rshf,TXR.sbase,TXR.r1,TXR.l1,TXR.r2,TXR.l2,TXR.rm,TXR.lm,kp,ki
1,gfm2,0,2,1,2,-10,10,1.00E+08,4.80E+02,60,2,70,0.05,0.001,4000,0.03,0.2,15,1,9.00E+08,0.03,0.12,0.01,0.1,1000,1000,1,10
2,gfm3,1,3,0.5,1,-10,10,1.00E+08,4.80E+02,60,2,70,0.05,0.001,4000,0.03,0.2,15,1,9.00E+08,0.03,0.12,0.01,0.1,1000,1000,1,10
