scenario,timepoint,bus,load_MW
1,2035-01-01T00:00:00.000000-0800,1,38.891775134788524
1,2035-01-01T00:00:00.000000-0800,4,26.63040368946839
1,2035-01-01T00:00:00.000000-0800,5,44.53983804227376
1,2035-01-01T00:00:00.000000-0800,7,69.60792954586692
1,2035-01-01T00:00:00.000000-0800,8,39.300340544002225
1,2035-01-01T00:00:00.000000-0800,10,18.88872009584503
1,2035-01-01T00:00:00.000000-0800,15,27.690307641123496
1,2035-01-01T00:00:00.000000-0800,17,37.008399473310284
1,2035-01-01T00:00:00.000000-0800,19,22.7191318454896
1,2035-01-01T00:00:00.000000-0800,20,52.27216768508141
1,2035-01-01T00:00:00.000000-0800,21,0.7147611
1,2035-01-01T00:00:00.000000-0800,23,5.0571484
1,2035-01-01T00:00:00.000000-0800,24,5.774236
1,2035-01-01T00:00:00.000000-0800,26,13.43620807554476
1,2035-01-01T00:00:00.000000-0800,27,3.9876732953208895
1,2035-01-01T00:00:00.000000-0800,29,13.000194944959475
1,2035-01-01T00:00:00.000000-0800,31,5.194761856451661
1,2035-01-01T00:00:00.000000-0800,32,2.09544750510167
1,2035-01-01T00:00:00.000000-0800,33,9.143589575153516
1,2035-01-01T00:00:00.000000-0800,34,19.06005540898797
1,2035-01-01T00:00:00.000000-0800,36,10.876218624069079
1,2035-01-01T00:00:00.000000-0800,39,3.5808187950410124
1,2035-01-01T00:00:00.000000-0800,40,9.92810288268152
1,2035-01-01T00:00:00.000000-0800,41,2.266516
1,2035-01-01T00:00:00.000000-0800,42,8.42690181644702
1,2035-01-01T00:00:00.000000-0800,43,3.601868
1,2035-01-01T00:00:00.000000-0800,44,19.08552833338395
1,2035-01-01T00:00:00.000000-0800,46,3.8177996006417643
1,2035-01-01T00:00:00.000000-0800,47,3.6353685393313064
1,2035-01-01T00:00:00.000000-0800,48,10.934925384728146
1,2035-01-01T00:00:00.000000-0800,49,13.131627114956833
1,2035-01-01T00:00:00.000000-0800,50,13.50689598828791
1,2035-01-01T00:00:00.000000-0800,51,3.5229728173878785
1,2035-01-01T00:00:00.000000-0800,52,24.491847720514322
1,2035-01-01T00:00:00.000000-0800,53,1.903267112193816
1,2035-01-01T00:00:00.000000-0800,54,14.989979367729067
1,2035-01-01T00:00:00.000000-0800,55,6.848050937939419
1,2035-01-01T00:00:00.000000-0800,57,10.6893
1,2035-01-01T00:00:00.000000-0800,58,6.398919
1,2035-01-01T00:00:00.000000-0800,62,2.0153655
1,2035-01-01T00:00:00.000000-0800,63,3.127882
1,2035-01-01T00:00:00.000000-0800,66,0.7970404
1,2035-01-01T00:00:00.000000-0800,67,2.9580908433559467
1,2035-01-01T00:00:00.000000-0800,68,2.506245
1,2035-01-01T00:00:00.000000-0800,69,9.438460780020138
1,2035-01-01T00:00:00.000000-0800,70,0.16535664
1,2035-01-01T00:00:00.000000-0800,72,8.16710286280048
1,2035-01-01T00:00:00.000000-0800,75,11.164000672010294
1,2035-01-01T00:00:00.000000-0800,79,27.701019467474897
1,2035-01-01T00:00:00.000000-0800,82,34.34329332055486
1,2035-01-01T00:00:00.000000-0800,88,37.40133619435281
1,2035-01-01T00:00:00.000000-0800,92,50.752860291306476
1,2035-01-01T00:00:00.000000-0800,93,16.487029373335233
1,2035-01-01T00:00:00.000000-0800,95,33.62316661911238
1,2035-01-01T00:00:00.000000-0800,97,13.49575717534549
1,2035-01-01T00:00:00.000000-0800,98,0.13708899
1,2035-01-01T00:00:00.000000-0800,99,58.750354033263456
1,2035-01-01T00:00:00.000000-0800,100,11.290754926844377
1,2035-01-01T00:00:00.000000-0800,102,6.547914069088137
1,2035-01-01T00:00:00.000000-0800,104,41.77814587896522
1,2035-01-01T00:00:00.000000-0800,106,7.769978656764173
1,2035-01-01T00:00:00.000000-0800,108,57.55625254719883
1,2035-01-01T00:00:00.000000-0800,113,4.1431514
1,2035-01-01T00:00:00.000000-0800,114,25.215455683575858
1,2035-01-01T00:00:00.000000-0800,116,0.431196
1,2035-01-01T00:00:00.000000-0800,118,1.6477831
1,2035-01-01T00:00:00.000000-0800,119,3.7583104473007043
1,2035-01-01T00:00:00.000000-0800,120,2.4061733
1,2035-01-01T00:00:00.000000-0800,121,0.027641
1,2035-01-01T00:00:00.000000-0800,123,6.582903036536685
1,2035-01-01T00:00:00.000000-0800,125,13.111549403582
1,2035-01-01T00:00:00.000000-0800,127,23.388739160530115
1,2035-01-01T00:00:00.000000-0800,128,0.99917615
