name,bus,technology,expand_capacity,duration_hr,efficiency_charge,efficiency_discharge,c0_USD,c1_USDperMWh,c2_USDperMWh2,cap_existing_energy_MWh,cap_existing_power_MW,cap_max_power_MW,cost_fixed_energy_USDperkWh,cost_fixed_power_USDperkW,cost_variable_USDperMWh
cats_1,1051,batteries,false,3.0,0.9219544457292888,0.9219544457292888,401.19412,16.3717118,0.067573963,4.5,1.5,1.5,0.0,0.0,0.0
cats_2,1072,batteries,false,1.0,0.9219544457292888,0.9219544457292888,401.19412,16.3717118,0.067573963,1.0,1.0,1.0,0.0,0.0,0.0
cats_3,108,batteries,false,1.0,0.9219544457292888,0.9219544457292888,401.19412,16.3717118,0.067573963,0.3,0.3,0.3,0.0,0.0,0.0
cats_4,1080,batteries,false,2.5,0.9219544457292888,0.9219544457292888,401.19412,16.3717118,0.067573963,1.0,0.4,0.4,0.0,0.0,0.0
cats_5,1080,batteries,false,4.0,0.9219544457292888,0.9219544457292888,401.19412,16.3717118,0.067573963,40.0,10.0,10.0,0.0,0.0,0.0
cats_6,1080,batteries,false,4.0,0.9219544457292888,0.9219544457292888,401.19412,16.3717118,0.067573963,40.0,10.0,10.0,0.0,0.0,0.0
cats_7,1085,batteries,false,0.95,0.9219544457292888,0.9219544457292888,401.19412,16.3717118,0.067573963,38.0,40.0,40.0,0.0,0.0,0.0
cats_8,1092,batteries,false,4.0,0.9219544457292888,0.9219544457292888,401.19412,16.3717118,0.067573963,30.0,7.5,7.5,0.0,0.0,0.0
cats_9,1143,batteries,false,2.2,0.9219544457292888,0.9219544457292888,401.19412,16.3717118,0.067573963,2.2,1.0,1.0,0.0,0.0,0.0
cats_10,116,batteries,false,4.0,0.9219544457292888,0.9219544457292888,401.19412,16.3717118,0.067573963,288.0,72.0,72.0,0.0,0.0,0.0
cats_11,1178,batteries,false,4.033333333333333,0.9219544457292888,0.9219544457292888,401.19412,16.3717118,0.067573963,242.0,60.0,60.0,0.0,0.0,0.0
cats_12,1220,batteries,false,1.0,0.9219544457292888,0.9219544457292888,401.19412,16.3717118,0.067573963,10.0,10.0,10.0,0.0,0.0,0.0
cats_13,1247,batteries,false,1.0,0.9219544457292888,0.9219544457292888,401.19412,16.3717118,0.067573963,0.5,0.5,0.5,0.0,0.0,0.0
cats_14,1268,batteries,false,4.0,0.9219544457292888,0.9219544457292888,401.19412,16.3717118,0.067573963,4.0,1.0,1.0,0.0,0.0,0.0
cats_15,1393,batteries,false,1.0,0.9219544457292888,0.9219544457292888,401.19412,16.3717118,0.067573963,5.0,5.0,5.0,0.0,0.0,0.0
cats_16,1458,batteries,false,4.0,0.9219544457292888,0.9219544457292888,401.19412,16.3717118,0.067573963,44.0,11.0,11.0,0.0,0.0,0.0
cats_17,1463,batteries,false,4.0,0.9219544457292888,0.9219544457292888,401.19412,16.3717118,0.067573963,400.0,100.0,100.0,0.0,0.0,0.0
cats_18,1465,batteries,false,3.0,0.9219544457292888,0.9219544457292888,401.19412,16.3717118,0.067573963,6.0,2.0,2.0,0.0,0.0,0.0
cats_19,1516,batteries,false,3.0,0.9219544457292888,0.9219544457292888,401.19412,16.3717118,0.067573963,3.0,1.0,1.0,0.0,0.0,0.0
cats_20,1521,batteries,false,2.0,0.9219544457292888,0.9219544457292888,401.19412,16.3717118,0.067573963,4.0,2.0,2.0,0.0,0.0,0.0
