name,bus_type,kron_removable_bus,base_voltage_kV,base_power_MVA
201,PQ,false,66.0,100.0
202,PQ,false,115.0,100.0
203,PQ,false,115.0,100.0
204,PV,false,66.0,100.0
205,PQ,false,115.0,100.0
206,PV,false,66.0,100.0
207,PV,false,66.0,100.0
208,PQ,false,66.0,100.0
209,PV,false,115.0,100.0
210,PQ,false,115.0,100.0
211,PQ,false,66.0,100.0
212,PQ,false,66.0,100.0
213,PQ,false,66.0,100.0
214,PQ,false,66.0,100.0
215,PQ,false,66.0,100.0
216,PQ,false,66.0,100.0
217,PQ,false,66.0,100.0
218,PQ,false,115.0,100.0
219,PV,false,115.0,100.0
220,PV,false,230.0,100.0
221,PQ,false,66.0,100.0
222,PQ,false,66.0,100.0
223,PQ,false,66.0,100.0
224,PQ,false,66.0,100.0
225,PQ,false,66.0,100.0
226,PV,false,66.0,100.0
227,PV,false,115.0,100.0
228,PQ,false,66.0,100.0
229,PV,false,66.0,100.0
230,PQ,false,66.0,100.0
231,PQ,false,66.0,100.0
232,PQ,false,66.0,100.0
233,PV,false,66.0,100.0
234,PQ,false,115.0,100.0
235,PV,false,66.0,100.0
236,PV,false,115.0,100.0
237,PQ,false,66.0,100.0
238,PQ,false,115.0,100.0
239,PV,false,115.0,100.0
240,PV,false,66.0,100.0
241,PV,false,66.0,100.0
242,PQ,false,115.0,100.0
243,PV,false,115.0,100.0
244,PQ,false,115.0,100.0
245,PV,false,115.0,100.0
246,PQ,false,66.0,100.0
247,PQ,false,66.0,100.0
248,PV,false,115.0,100.0
249,PQ,false,66.0,100.0
250,PQ,false,66.0,100.0
251,PQ,false,66.0,100.0
252,PQ,false,66.0,100.0
253,PV,false,66.0,100.0
254,PQ,false,115.0,100.0
255,PQ,false,66.0,100.0
256,PQ,false,66.0,100.0
257,PQ,false,115.0,100.0
258,PV,false,66.0,100.0
259,PV,false,66.0,100.0
260,PQ,false,66.0,100.0
261,PQ,false,115.0,100.0
262,PV,false,66.0,100.0
263,PQ,false,115.0,100.0
264,PQ,false,66.0,100.0
265,PQ,false,115.0,100.0
266,PQ,false,115.0,100.0
267,PQ,false,115.0,100.0
268,PV,false,115.0,100.0
269,PV,false,66.0,100.0
270,PV,false,66.0,100.0
271,PQ,false,66.0,100.0
272,PQ,false,66.0,100.0
273,PQ,false,66.0,100.0
274,PV,false,115.0,100.0
275,PQ,false,115.0,100.0
276,PV,false,66.0,100.0
277,PQ,false,115.0,100.0
278,PQ,false,66.0,100.0
279,PQ,false,66.0,100.0
