name,from_bus,to_bus,scenario,timepoint,from_bus_angle_deg,to_bus_angle_deg,DCflow_MW,losses_MW
1,1,2,1,1,0.0,-0.3819718634205489,66.66666666666667,0.0
1,1,2,1,2,0.0,-0.5729577951308232,100.0,0.0
1,1,2,1,3,0.0,-0.3819718634205489,66.66666666666667,0.0
3,1,3,1,1,0.0,-0.3819718634205489,33.333333333333336,0.0
3,1,3,1,2,0.0,-0.5729577951308232,50.0,0.0
3,1,3,1,3,0.0,-0.3819718634205489,33.333333333333336,0.0
2,2,4,1,1,-0.3819718634205489,-0.7639437268410978,66.66666666666667,0.0
4,3,4,1,1,-0.3819718634205489,-0.7639437268410978,33.333333333333336,0.0
2,2,4,1,2,-0.5729577951308232,-1.1459155902616465,100.0,0.0
4,3,4,1,2,-0.5729577951308232,-1.1459155902616465,50.0,0.0
2,2,4,1,3,-0.3819718634205489,-0.7639437268410978,66.66666666666667,0.0
4,3,4,1,3,-0.3819718634205489,-0.7639437268410978,33.333333333333336,0.0
