,bus_id,g_pu,b_pu,bus_vmag,bus_vphase,p,q
pa_rc_0,0,0.05,0.066666667,1.0,0.0,0.05,-0.066666667
pa_rc_1,1,0.05,0.066666667,1.2768999990414063,20.66904479571431,0.08152368037759716,-0.1086982410469541
