bus,timepoint,generator_dispatch_MVAR,load_shedding_MVAR,load_MVAR,net_line_leaving_flow_MVAR
lima,timepoint_1,-7.026642595242817,-9.990909090909043e-9,0.0,-7.026642605233735
santiago,timepoint_1,-6.33006174414215,-9.990909090909054e-9,0.0,-6.330061754133077
