bus,timepoint,active_load_shedding_MW,reactive_load_shedding_MVAR
lima,timepoint_1,-9.99090909090909e-9,-9.990909090909043e-9
santiago,timepoint_1,-9.99090909090909e-9,-9.990909090909054e-9
