scenario,bus,timepoint,load_MW
climate_1,42,2035-01-01T11:00:00.000000-0800,13.16353050776282
climate_1,1883,2035-01-01T22:00:00.000000-0800,0.01808654529825036
climate_1,2321,2035-01-01T21:00:00.000000-0800,50.24550334920272
climate_1,1049,2035-01-01T02:00:00.000000-0800,22.411638733522704
climate_1,327,2035-01-01T23:00:00.000000-0800,6.88324899070567
climate_1,747,2035-01-01T11:00:00.000000-0800,9.463608188650484
climate_1,7978,2035-01-01T22:00:00.000000-0800,2.3462038357548964
climate_1,1304,2035-01-01T12:00:00.000000-0800,1.9934380326013161
climate_1,264,2035-01-01T05:00:00.000000-0800,0.010113
climate_1,867,2035-01-01T02:00:00.000000-0800,2.9087987155470403
climate_1,869,2035-01-01T17:00:00.000000-0800,0.21176346000000001
climate_1,154,2035-01-01T01:00:00.000000-0800,0.11821622999999999
climate_1,689,2035-01-01T10:00:00.000000-0800,15.197732855724333
climate_1,1802,2035-01-01T15:00:00.000000-0800,8.7323338040618
climate_1,1214,2035-01-01T09:00:00.000000-0800,11.54345642318864
climate_1,1843,2035-01-01T17:00:00.000000-0800,8.664259681664731
climate_1,1780,2035-01-01T03:00:00.000000-0800,3.415225251370195
climate_1,8148,2035-01-01T03:00:00.000000-0800,1.1980953387048285
climate_1,488,2035-01-01T00:00:00.000000-0800,3.524022750444347
climate_1,1438,2035-01-01T03:00:00.000000-0800,1.013682
climate_1,1055,2035-01-01T10:00:00.000000-0800,2.7054921993590413
climate_1,754,2035-01-01T17:00:00.000000-0800,13.581291335063725
climate_1,27,2035-01-01T19:00:00.000000-0800,3.238428636571135
climate_1,2032,2035-01-01T13:00:00.000000-0800,22.79427061458407
climate_1,1291,2035-01-01T23:00:00.000000-0800,1.3515411160477113
climate_1,465,2035-01-01T06:00:00.000000-0800,16.125012856354218
climate_1,2123,2035-01-01T09:00:00.000000-0800,26.88250619590768
climate_1,2232,2035-01-01T11:00:00.000000-0800,6.336020366687139
climate_1,1257,2035-01-01T14:00:00.000000-0800,83.67098552363336
climate_1,197,2035-01-01T17:00:00.000000-0800,0.054758
climate_1,660,2035-01-01T21:00:00.000000-0800,29.576276042287653
climate_1,2403,2035-01-01T12:00:00.000000-0800,15.404368763379159
climate_1,48,2035-01-01T10:00:00.000000-0800,6.344778025768843
climate_1,1218,2035-01-01T23:00:00.000000-0800,10.193950809071554
climate_1,2058,2035-01-01T06:00:00.000000-0800,10.36916208109365
climate_1,8570,2035-01-01T16:00:00.000000-0800,1.5093293413954731
climate_1,266,2035-01-01T08:00:00.000000-0800,0.16889455
climate_1,129,2035-01-01T11:00:00.000000-0800,12.274368283647188
climate_1,2313,2035-01-01T04:00:00.000000-0800,0.28130981438483027
climate_1,956,2035-01-01T16:00:00.000000-0800,4.610883078254427
climate_1,217,2035-01-01T13:00:00.000000-0800,1.12850150773839
climate_1,2359,2035-01-01T04:00:00.000000-0800,1.7527748737618696
climate_1,545,2035-01-01T14:00:00.000000-0800,32.35014627955364
climate_1,5,2035-01-01T21:00:00.000000-0800,50.900451187898156
climate_1,2068,2035-01-01T00:00:00.000000-0800,48.697747707573306
climate_1,630,2035-01-01T14:00:00.000000-0800,0.65063824
climate_1,907,2035-01-01T21:00:00.000000-0800,0.2216387
climate_1,1796,2035-01-01T21:00:00.000000-0800,8.614308644014537
climate_1,2375,2035-01-01T18:00:00.000000-0800,0.5672408000000001
climate_1,8792,2035-01-01T01:00:00.000000-0800,30.583805115810033
climate_1,1788,2035-01-01T19:00:00.000000-0800,27.749409422233427
climate_1,7663,2035-01-01T19:00:00.000000-0800,0.9043510131726604
climate_1,55,2035-01-01T21:00:00.000000-0800,6.207325031834072
climate_1,7662,2035-01-01T08:00:00.000000-0800,8.480831918798733
climate_1,8663,2035-01-01T07:00:00.000000-0800,1.1726079
climate_1,8130,2035-01-01T16:00:00.000000-0800,19.82958364500609
climate_1,951,2035-01-01T15:00:00.000000-0800,10.510309614568758
climate_1,625,2035-01-01T13:00:00.000000-0800,0.9261029989999999
climate_1,62,2035-01-01T11:00:00.000000-0800,1.3355189
climate_1,1909,2035-01-01T08:00:00.000000-0800,12.468769951824363
climate_1,1482,2035-01-01T14:00:00.000000-0800,25.9181119123632
climate_1,511,2035-01-01T13:00:00.000000-0800,8.426655210492902
climate_1,526,2035-01-01T19:00:00.000000-0800,9.161606424311891
climate_1,1874,2035-01-01T19:00:00.000000-0800,4.238340852995395
climate_1,134,2035-01-01T23:00:00.000000-0800,2.3320778771626536
climate_1,7905,2035-01-01T14:00:00.000000-0800,0.0060279999999999995
climate_1,7866,2035-01-01T01:00:00.000000-0800,24.575343950401248
climate_1,1867,2035-01-01T16:00:00.000000-0800,21.63951830713621
climate_1,1746,2035-01-01T05:00:00.000000-0800,0.7510483481184278
climate_1,542,2035-01-01T16:00:00.000000-0800,15.567405068757704
climate_1,2348,2035-01-01T01:00:00.000000-0800,7.483652266928374
climate_1,420,2035-01-01T14:00:00.000000-0800,7.190825008347379
climate_1,114,2035-01-01T11:00:00.000000-0800,13.827120389431085
climate_1,1315,2035-01-01T21:00:00.000000-0800,1.9265174999999999
climate_1,1254,2035-01-01T02:00:00.000000-0800,24.230834788861706
climate_1,982,2035-01-01T06:00:00.000000-0800,7.639548200312323
climate_1,1315,2035-01-01T17:00:00.000000-0800,1.3188945
climate_1,931,2035-01-01T23:00:00.000000-0800,11.602824134172577
climate_1,489,2035-01-01T01:00:00.000000-0800,18.745306861934353
climate_1,1694,2035-01-01T18:00:00.000000-0800,11.178525311650645
climate_1,1843,2035-01-01T07:00:00.000000-0800,8.492363270853852
climate_1,1497,2035-01-01T01:00:00.000000-0800,2.78068914147091
climate_1,2138,2035-01-01T02:00:00.000000-0800,58.61256797047112
climate_1,8805,2035-01-01T03:00:00.000000-0800,27.15735689092187
climate_1,1329,2035-01-01T07:00:00.000000-0800,21.444875198869852
climate_1,1693,2035-01-01T02:00:00.000000-0800,9.775726460509182
climate_1,637,2035-01-01T22:00:00.000000-0800,17.567475510281074
climate_1,1137,2035-01-01T05:00:00.000000-0800,9.446821829225408
climate_1,1063,2035-01-01T21:00:00.000000-0800,1.4353274
climate_1,413,2035-01-01T01:00:00.000000-0800,6.085032034983166
climate_1,76,2035-01-01T22:00:00.000000-0800,1.25332073581169
climate_1,2066,2035-01-01T18:00:00.000000-0800,17.820513364393634
climate_1,7787,2035-01-01T09:00:00.000000-0800,0.646938996511047
climate_1,1345,2035-01-01T17:00:00.000000-0800,16.378279610548475
climate_1,7931,2035-01-01T19:00:00.000000-0800,37.134049327797136
climate_1,165,2035-01-01T08:00:00.000000-0800,0.3436678
climate_1,341,2035-01-01T11:00:00.000000-0800,31.57185609868527
climate_1,1178,2035-01-01T11:00:00.000000-0800,2.7335913992686995
climate_1,444,2035-01-01T15:00:00.000000-0800,13.544428025373808
climate_1,8177,2035-01-01T07:00:00.000000-0800,2.688346848984605
climate_1,413,2035-01-01T18:00:00.000000-0800,7.905536822689149
climate_1,7907,2035-01-01T23:00:00.000000-0800,0.959755826677507
climate_1,353,2035-01-01T19:00:00.000000-0800,19.09127040157465
climate_1,450,2035-01-01T07:00:00.000000-0800,17.389951972558336
climate_1,314,2035-01-01T10:00:00.000000-0800,2.257637353902961
climate_1,799,2035-01-01T19:00:00.000000-0800,14.202929368680001
climate_1,1183,2035-01-01T20:00:00.000000-0800,23.091722416782346
