bus,timepoint,generator_dispatch_MVAR,load_shedding_MVAR,load_MVAR,net_line_leaving_flow_MVAR
richmond,t_1,-4.683898312719294,-9.974940923328463e-9,0.0,-4.68389832150487
sf,t_1,-4.721332675202114,-9.974940935203385e-9,0.0,-4.721332682694626
berkeley,t_1,-2.4030988123906774,-9.974940943661926e-9,0.0,-2.4030988219792917
oakland,t_1,-2.2131144824191638,-9.974940943735707e-9,0.0,-2.2131144919494283
san_jose,t_1,0.0,-9.974940942479289e-9,0.0,-9.814835303038718e-9
