Index,"('infinite_sources_1', 'i_bus_d')","('infinite_sources_1', 'i_bus_q')","('pa_rc_1', 'v_bus_D')","('pa_rc_1', 'v_bus_Q')","('', 'x0')","('', 'x1')","('', 'x2')","('', 'x3')"
"('', 'y0')",0.9999122798006764,-0.013245101125090697,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y1')",0.013245101125090697,0.9999122798006764,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y2')",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"('', 'y3')",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"('', 'y4')",0.0,0.0,0.005210985550202487,0.056995893715448734,-0.013309845457322686,0.49982281661995176,-0.17130808055415084,-0.008081235827069754
"('', 'y5')",0.0,0.0,-0.056995893715448734,0.005210985550202526,0.49982281661995226,0.013309845457322897,0.008081235827069592,-0.17130808055415073
"('', 'y6')",0.0,0.0,0.22144994328677353,-0.009757890910214883,9.674275238403087e-16,6.315329957428003e-16,9.205520585499304e-16,-0.6642111639597147
"('', 'y7')",0.0,0.0,0.009757890910214555,0.22144994328677353,-4.574262514309905e-16,2.7377247737482864e-16,0.6642111639597156,-9.555412704025422e-17
"('', 'y8')",0.0,0.0,-0.005210985550202465,-0.05699589371544876,-0.013309845457322974,0.499822816619952,0.1713080805541507,0.008081235827069665
"('', 'y9')",0.0,0.0,0.056995893715448796,-0.005210985550202523,0.49982281661995204,0.013309845457322613,-0.008081235827069653,0.17130808055415092
