Index,"('', 'u0')","('', 'u1')","('', 'u2')","('', 'u3')"
"('', 'y0')",0.0,0.0,0.0,0.0
"('', 'y1')",0.0,0.0,0.0,0.0
"('', 'y2')",0.0,0.0,0.0,0.0
"('', 'y3')",0.0,0.0,0.0,0.0
"('', 'y4')",0.0,0.0,0.006726352024245431,0.05683698144054693
"('', 'y5')",0.0,0.0,-0.05683698144054706,0.00672635202424548
"('', 'y6')",0.0,0.0,0.2211117167478393,-0.01564936208138756
"('', 'y7')",0.0,0.0,0.01564936208138717,0.22111171674783878
"('', 'y8')",0.0,0.0,-0.006726352024245409,-0.05683698144054696
"('', 'y9')",0.0,0.0,0.05683698144054712,-0.006726352024245478
