bus,timepoint,active_load_shedding_MW,reactive_load_shedding_MVAR
lima,timepoint_1,-9.974940963696508e-9,-9.974940964376057e-9
santiago,timepoint_1,-9.97494096379835e-9,-9.974940960806504e-9
