bus,timepoint,generator_dispatch_MW,load_shedding_MW,load_MW,net_line_leaving_flow_MW
lima,timepoint_1,-0.058375056098752195,-9.974940964399896e-9,0.0,-0.05837506532163607
santiago,timepoint_1,10.0,-9.974940964460538e-9,0.0,9.999999989460255
