storage,scenario,timepoint,discharge_MW,charge_MW,state_of_charge_MWh
cats_73,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_74,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_75,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_76,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_77,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_78,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_79,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_80,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_81,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_82,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_83,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_84,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_85,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_86,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_87,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_88,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_89,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_90,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_91,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_92,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_93,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_94,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_95,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_96,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_97,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_98,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_99,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_100,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_101,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_102,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_103,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_104,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_105,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_106,1,2035-01-01T00:00:00.000000-0800,0.0,-0.0,0.0
cats_107,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_108,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_109,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_110,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_111,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_112,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_113,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_114,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_115,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_116,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_117,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_118,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
