generator,timepoint,Dispatch_MW
cec23_782,2035-01-01T17:00:00.000000-0800,4.3178351519235214e-17
cec23_782,2035-01-01T18:00:00.000000-0800,-3.1849251968391057e-15
cec23_782,2035-01-01T19:00:00.000000-0800,2.4523929193150004e-15
cec23_782,2035-01-01T20:00:00.000000-0800,2.1401882745996492e-15
cec23_782,2035-01-01T21:00:00.000000-0800,4.3779990220468226e-15
cec23_782,2035-01-01T22:00:00.000000-0800,1.0446319695633357e-15
cec23_782,2035-01-01T23:00:00.000000-0800,2.357063993312959e-15
cec23_783,2035-01-01T00:00:00.000000-0800,0.0
cec23_783,2035-01-01T01:00:00.000000-0800,0.0
cec23_783,2035-01-01T02:00:00.000000-0800,2.2885718504067924e-17
cec23_783,2035-01-01T03:00:00.000000-0800,0.0
cec23_783,2035-01-01T04:00:00.000000-0800,-1.0173494353789687e-18
cec23_783,2035-01-01T05:00:00.000000-0800,0.0
cec23_783,2035-01-01T06:00:00.000000-0800,0.0
cec23_783,2035-01-01T07:00:00.000000-0800,0.0
cec23_783,2035-01-01T08:00:00.000000-0800,0.0
cec23_783,2035-01-01T09:00:00.000000-0800,0.0
cec23_783,2035-01-01T10:00:00.000000-0800,0.0
cec23_783,2035-01-01T11:00:00.000000-0800,0.0
cec23_783,2035-01-01T12:00:00.000000-0800,0.0
cec23_783,2035-01-01T13:00:00.000000-0800,0.0
cec23_783,2035-01-01T14:00:00.000000-0800,0.0
cec23_783,2035-01-01T15:00:00.000000-0800,0.0
cec23_783,2035-01-01T16:00:00.000000-0800,0.0
cec23_783,2035-01-01T17:00:00.000000-0800,0.0
cec23_783,2035-01-01T18:00:00.000000-0800,0.0
cec23_783,2035-01-01T19:00:00.000000-0800,0.0
cec23_783,2035-01-01T20:00:00.000000-0800,0.0
cec23_783,2035-01-01T21:00:00.000000-0800,0.0
cec23_783,2035-01-01T22:00:00.000000-0800,0.0
cec23_783,2035-01-01T23:00:00.000000-0800,0.0
cec23_784,2035-01-01T00:00:00.000000-0800,0.0
cec23_784,2035-01-01T01:00:00.000000-0800,0.0
cec23_784,2035-01-01T02:00:00.000000-0800,0.0
cec23_784,2035-01-01T03:00:00.000000-0800,0.0
cec23_784,2035-01-01T04:00:00.000000-0800,0.0
cec23_784,2035-01-01T05:00:00.000000-0800,0.0
cec23_784,2035-01-01T06:00:00.000000-0800,0.0
cec23_784,2035-01-01T07:00:00.000000-0800,0.0
cec23_784,2035-01-01T08:00:00.000000-0800,0.0
cec23_784,2035-01-01T09:00:00.000000-0800,0.0
cec23_784,2035-01-01T10:00:00.000000-0800,0.0
cec23_784,2035-01-01T11:00:00.000000-0800,0.0
cec23_784,2035-01-01T12:00:00.000000-0800,0.0
cec23_784,2035-01-01T13:00:00.000000-0800,0.0
cec23_784,2035-01-01T14:00:00.000000-0800,0.0
cec23_784,2035-01-01T15:00:00.000000-0800,0.0
cec23_784,2035-01-01T16:00:00.000000-0800,5.684341886080802e-14
cec23_784,2035-01-01T17:00:00.000000-0800,0.0
cec23_784,2035-01-01T18:00:00.000000-0800,0.0
cec23_784,2035-01-01T19:00:00.000000-0800,0.0
cec23_784,2035-01-01T20:00:00.000000-0800,0.0
cec23_784,2035-01-01T21:00:00.000000-0800,0.0
cec23_784,2035-01-01T22:00:00.000000-0800,0.0
cec23_784,2035-01-01T23:00:00.000000-0800,0.0
cec23_785,2035-01-01T00:00:00.000000-0800,0.0
cec23_785,2035-01-01T01:00:00.000000-0800,0.0
cec23_785,2035-01-01T02:00:00.000000-0800,0.0
cec23_785,2035-01-01T03:00:00.000000-0800,0.0
cec23_785,2035-01-01T04:00:00.000000-0800,0.0
cec23_785,2035-01-01T05:00:00.000000-0800,0.0
cec23_785,2035-01-01T06:00:00.000000-0800,0.0
cec23_785,2035-01-01T07:00:00.000000-0800,0.0
cec23_785,2035-01-01T08:00:00.000000-0800,0.0
cec23_785,2035-01-01T09:00:00.000000-0800,0.0
cec23_785,2035-01-01T10:00:00.000000-0800,6.759582653801658e-18
cec23_785,2035-01-01T11:00:00.000000-0800,0.0
cec23_785,2035-01-01T12:00:00.000000-0800,0.0
cec23_785,2035-01-01T13:00:00.000000-0800,0.0
cec23_785,2035-01-01T14:00:00.000000-0800,0.0
cec23_785,2035-01-01T15:00:00.000000-0800,0.0
cec23_785,2035-01-01T16:00:00.000000-0800,0.0
cec23_785,2035-01-01T17:00:00.000000-0800,0.0
cec23_785,2035-01-01T18:00:00.000000-0800,0.0
cec23_785,2035-01-01T19:00:00.000000-0800,0.0
cec23_785,2035-01-01T20:00:00.000000-0800,0.0
cec23_785,2035-01-01T21:00:00.000000-0800,0.0
cec23_785,2035-01-01T22:00:00.000000-0800,0.0
cec23_785,2035-01-01T23:00:00.000000-0800,0.0
cec23_786,2035-01-01T00:00:00.000000-0800,0.0
cec23_786,2035-01-01T01:00:00.000000-0800,0.0
cec23_786,2035-01-01T02:00:00.000000-0800,0.0
cec23_786,2035-01-01T03:00:00.000000-0800,0.0
cec23_786,2035-01-01T04:00:00.000000-0800,0.0
cec23_786,2035-01-01T05:00:00.000000-0800,0.0
