generator,scenario,timepoint,Dispatch_MW
cec23_4,sc1,2035-01-01T08:00:00.000000-0800,0.0
cec23_4,sc1,2035-01-01T09:00:00.000000-0800,0.0
cec23_4,sc1,2035-01-01T10:00:00.000000-0800,0.0
cec23_4,sc1,2035-01-01T11:00:00.000000-0800,0.0
cec23_4,sc1,2035-01-01T12:00:00.000000-0800,-4.861969117239684e-19
cec23_4,sc1,2035-01-01T13:00:00.000000-0800,0.0
cec23_4,sc1,2035-01-01T14:00:00.000000-0800,0.0
cec23_4,sc1,2035-01-01T15:00:00.000000-0800,0.0
cec23_4,sc1,2035-01-01T16:00:00.000000-0800,0.0
cec23_4,sc1,2035-01-01T17:00:00.000000-0800,0.0
cec23_4,sc1,2035-01-01T18:00:00.000000-0800,0.0
cec23_4,sc1,2035-01-01T19:00:00.000000-0800,0.0
cec23_4,sc1,2035-01-01T20:00:00.000000-0800,0.0
cec23_4,sc1,2035-01-01T21:00:00.000000-0800,0.0
cec23_4,sc1,2035-01-01T22:00:00.000000-0800,0.0
cec23_4,sc1,2035-01-01T23:00:00.000000-0800,-7.517703280501614e-17
cec23_5,sc1,2035-01-01T00:00:00.000000-0800,0.0
cec23_5,sc1,2035-01-01T01:00:00.000000-0800,0.0
cec23_5,sc1,2035-01-01T02:00:00.000000-0800,0.0
cec23_5,sc1,2035-01-01T03:00:00.000000-0800,0.0
cec23_5,sc1,2035-01-01T04:00:00.000000-0800,0.0
cec23_5,sc1,2035-01-01T05:00:00.000000-0800,0.0
cec23_5,sc1,2035-01-01T06:00:00.000000-0800,0.0
cec23_5,sc1,2035-01-01T07:00:00.000000-0800,0.0
cec23_5,sc1,2035-01-01T08:00:00.000000-0800,0.0
cec23_5,sc1,2035-01-01T09:00:00.000000-0800,0.0
cec23_5,sc1,2035-01-01T10:00:00.000000-0800,0.0
cec23_5,sc1,2035-01-01T11:00:00.000000-0800,0.0
cec23_5,sc1,2035-01-01T12:00:00.000000-0800,0.0
cec23_5,sc1,2035-01-01T13:00:00.000000-0800,0.0
cec23_5,sc1,2035-01-01T14:00:00.000000-0800,0.0
cec23_5,sc1,2035-01-01T15:00:00.000000-0800,0.0
cec23_5,sc1,2035-01-01T16:00:00.000000-0800,0.0
cec23_5,sc1,2035-01-01T17:00:00.000000-0800,0.0
cec23_5,sc1,2035-01-01T18:00:00.000000-0800,0.0
cec23_5,sc1,2035-01-01T19:00:00.000000-0800,0.0
cec23_5,sc1,2035-01-01T20:00:00.000000-0800,0.0
cec23_5,sc1,2035-01-01T21:00:00.000000-0800,0.0
cec23_5,sc1,2035-01-01T22:00:00.000000-0800,0.0
cec23_5,sc1,2035-01-01T23:00:00.000000-0800,0.0
cec23_6,sc1,2035-01-01T00:00:00.000000-0800,0.0
cec23_6,sc1,2035-01-01T01:00:00.000000-0800,8.271806125530277e-25
cec23_6,sc1,2035-01-01T02:00:00.000000-0800,1.6543612251060553e-24
cec23_6,sc1,2035-01-01T03:00:00.000000-0800,0.0
cec23_6,sc1,2035-01-01T04:00:00.000000-0800,-2.858634553029593e-16
cec23_6,sc1,2035-01-01T05:00:00.000000-0800,0.0
cec23_6,sc1,2035-01-01T06:00:00.000000-0800,0.0
cec23_6,sc1,2035-01-01T07:00:00.000000-0800,0.0
cec23_6,sc1,2035-01-01T08:00:00.000000-0800,0.0
cec23_6,sc1,2035-01-01T09:00:00.000000-0800,0.0
cec23_6,sc1,2035-01-01T10:00:00.000000-0800,0.0
cec23_6,sc1,2035-01-01T11:00:00.000000-0800,0.0
cec23_6,sc1,2035-01-01T12:00:00.000000-0800,0.0
cec23_6,sc1,2035-01-01T13:00:00.000000-0800,0.0
cec23_6,sc1,2035-01-01T14:00:00.000000-0800,0.0
cec23_6,sc1,2035-01-01T15:00:00.000000-0800,0.0
cec23_6,sc1,2035-01-01T16:00:00.000000-0800,0.0
cec23_6,sc1,2035-01-01T17:00:00.000000-0800,0.0
cec23_6,sc1,2035-01-01T18:00:00.000000-0800,0.0
cec23_6,sc1,2035-01-01T19:00:00.000000-0800,0.0
cec23_6,sc1,2035-01-01T20:00:00.000000-0800,0.0
cec23_6,sc1,2035-01-01T21:00:00.000000-0800,0.0
cec23_6,sc1,2035-01-01T22:00:00.000000-0800,0.0
cec23_6,sc1,2035-01-01T23:00:00.000000-0800,0.0
cec23_7,sc1,2035-01-01T00:00:00.000000-0800,0.0
cec23_7,sc1,2035-01-01T01:00:00.000000-0800,0.0
cec23_7,sc1,2035-01-01T02:00:00.000000-0800,4.1359030627651384e-25
cec23_7,sc1,2035-01-01T03:00:00.000000-0800,0.0
cec23_7,sc1,2035-01-01T04:00:00.000000-0800,0.0
cec23_7,sc1,2035-01-01T05:00:00.000000-0800,0.0
cec23_7,sc1,2035-01-01T06:00:00.000000-0800,0.0
cec23_7,sc1,2035-01-01T07:00:00.000000-0800,0.0
cec23_7,sc1,2035-01-01T08:00:00.000000-0800,0.0
cec23_7,sc1,2035-01-01T09:00:00.000000-0800,0.0
cec23_7,sc1,2035-01-01T10:00:00.000000-0800,-4.701032857261367e-20
cec23_7,sc1,2035-01-01T11:00:00.000000-0800,0.0
cec23_7,sc1,2035-01-01T12:00:00.000000-0800,0.0
cec23_7,sc1,2035-01-01T13:00:00.000000-0800,0.0
cec23_7,sc1,2035-01-01T14:00:00.000000-0800,0.0
cec23_7,sc1,2035-01-01T15:00:00.000000-0800,0.0
cec23_7,sc1,2035-01-01T16:00:00.000000-0800,0.0
cec23_7,sc1,2035-01-01T17:00:00.000000-0800,0.0
cec23_7,sc1,2035-01-01T18:00:00.000000-0800,0.0
cec23_7,sc1,2035-01-01T19:00:00.000000-0800,0.0
cec23_7,sc1,2035-01-01T20:00:00.000000-0800,0.0
cec23_7,sc1,2035-01-01T21:00:00.000000-0800,0.0
cec23_7,sc1,2035-01-01T22:00:00.000000-0800,6.617444900424222e-24
cec23_7,sc1,2035-01-01T23:00:00.000000-0800,6.617444900424222e-24
cec23_8,sc1,2035-01-01T00:00:00.000000-0800,0.0
cec23_8,sc1,2035-01-01T01:00:00.000000-0800,-1.6543612251060553e-24
cec23_8,sc1,2035-01-01T02:00:00.000000-0800,0.0
cec23_8,sc1,2035-01-01T03:00:00.000000-0800,0.0
cec23_8,sc1,2035-01-01T04:00:00.000000-0800,0.0
cec23_8,sc1,2035-01-01T05:00:00.000000-0800,0.0
cec23_8,sc1,2035-01-01T06:00:00.000000-0800,0.0
cec23_8,sc1,2035-01-01T07:00:00.000000-0800,0.0
cec23_8,sc1,2035-01-01T08:00:00.000000-0800,0.0
cec23_8,sc1,2035-01-01T09:00:00.000000-0800,0.0
cec23_8,sc1,2035-01-01T10:00:00.000000-0800,0.0
cec23_8,sc1,2035-01-01T11:00:00.000000-0800,0.0
cec23_8,sc1,2035-01-01T12:00:00.000000-0800,0.0
cec23_8,sc1,2035-01-01T13:00:00.000000-0800,0.0
cec23_8,sc1,2035-01-01T14:00:00.000000-0800,0.0
cec23_8,sc1,2035-01-01T15:00:00.000000-0800,0.0
cec23_8,sc1,2035-01-01T16:00:00.000000-0800,0.0
cec23_8,sc1,2035-01-01T17:00:00.000000-0800,0.0
cec23_8,sc1,2035-01-01T18:00:00.000000-0800,0.0
cec23_8,sc1,2035-01-01T19:00:00.000000-0800,0.0
cec23_8,sc1,2035-01-01T20:00:00.000000-0800,0.0
cec23_8,sc1,2035-01-01T21:00:00.000000-0800,0.0
cec23_8,sc1,2035-01-01T22:00:00.000000-0800,0.0
cec23_8,sc1,2035-01-01T23:00:00.000000-0800,0.0
cec23_9,sc1,2035-01-01T00:00:00.000000-0800,0.0
cec23_9,sc1,2035-01-01T01:00:00.000000-0800,0.0
cec23_9,sc1,2035-01-01T02:00:00.000000-0800,0.0
cec23_9,sc1,2035-01-01T03:00:00.000000-0800,0.0
cec23_9,sc1,2035-01-01T04:00:00.000000-0800,0.0
cec23_9,sc1,2035-01-01T05:00:00.000000-0800,0.0
cec23_9,sc1,2035-01-01T06:00:00.000000-0800,0.0
cec23_9,sc1,2035-01-01T07:00:00.000000-0800,0.0
cec23_9,sc1,2035-01-01T08:00:00.000000-0800,0.0
cec23_9,sc1,2035-01-01T09:00:00.000000-0800,0.0
cec23_9,sc1,2035-01-01T10:00:00.000000-0800,0.0
cec23_9,sc1,2035-01-01T11:00:00.000000-0800,7.815970093361102e-13
