bus,timepoint,generator_dispatch_MW,load_shedding_MW,load_MW,net_line_leaving_flow_MW
lima,t_1,-85.86698271936963,-9.97494096261266e-9,0.0,-85.86698272918828
santiago,t_1,100.0,-9.974940980027277e-9,0.0,99.99999998988655
