name,from_bus,to_bus,scenario,timepoint,from_bus_angle_deg,to_bus_angle_deg,DCflow_MW,losses_MW
4,north,south,sc1,1,-1.2596441732572836,0.0,-201.54875528879268,43.87165281913857
2,center,south,sc1,1,0.3412828569612264,0.0,19.399783528485703,1.1441088668943997
3,center,south,sc1,1,0.3412828569612264,0.0,92.1489717603071,5.434517117748402
1,center,north,sc1,1,0.3412828569612264,-1.2596441732572836,98.45124471120734,27.236339714372747
