gen_id,bus_id,p_min,p_max,q_min,q_max,p,q,bus_vmag,bus_vphase
gfmi_c_0,1,0.8,0.8,0.5,0.5,0.8,0.5,1.1037048052538914,7.392353488655026
inf_src_0,0,-2.0,2.0,-5.0,5.0,-0.6818344482998117,-0.5027308874817545,1.0,0.0
