,"('line_ns1_frombus', 'v_bus_D')","('line_ns1_frombus', 'v_bus_Q')","('line_ns1_tobus', 'v_bus_D')","('line_ns1_tobus', 'v_bus_Q')"
"('line_ns1_frombus', 'v_bus_D')",-282.7433374093647,376.99111843077515,0.0,0.0
"('line_ns1_frombus', 'v_bus_Q')",-376.99111843077515,-282.7433374093647,0.0,0.0
"('line_ns1_tobus', 'v_bus_D')",0.0,0.0,-282.7433374093647,376.99111843077515
"('line_ns1_tobus', 'v_bus_Q')",0.0,0.0,-376.99111843077515,-282.7433374093647
