,"('inf_src1', 'i2c_d')","('inf_src1', 'i2c_q')","('inf_src2', 'i2c_d')","('inf_src2', 'i2c_q')"
"('inf_src1', 'i2_d')",0.8761249043660314,0.4820841751702832,0.0,0.0
"('inf_src1', 'i2_q')",-0.4820841751702832,0.8761249043660314,0.0,0.0
"('inf_src2', 'i2_d')",0.0,0.0,0.9006690921716582,-0.4345056805229145
"('inf_src2', 'i2_q')",0.0,0.0,0.4345056805229145,0.9006690921716582
