,"('from_line_ns1', 'v1_d')","('from_line_ns1', 'v1_q')","('from_line_ns1', 'v2_d')","('from_line_ns1', 'v2_q')"
"('from_line_ns1', 'i_d')",753.9822368615503,0.0,-753.9822368615503,0.0
"('from_line_ns1', 'i_q')",0.0,753.9822368615503,0.0,-753.9822368615503
