,"('from_line_ns1', 'i_br_D')","('from_line_ns1', 'i_br_Q')"
"('from_line_ns1', 'i_br_D')",-7.5398223686155035,376.99111843077515
"('from_line_ns1', 'i_br_Q')",-376.99111843077515,-7.5398223686155035
