idx,bus_idx,g,b,bus_vmag,bus_vphase,p,q
line_ns1_frombus,1,0.05,0.066666667,1.0,0.0,0.05,-0.066666667
line_ns1_tobus,2,0.05,0.066666667,1.2768999990414063,20.66904479571431,0.08152368037759716,-0.1086982410469541
