,"('inf_src1', 'v_ref_d')","('inf_src1', 'v_ref_q')","('inf_src2', 'v_ref_d')","('inf_src2', 'v_ref_q')","('inf_src1', 'v_bus_D')","('inf_src1', 'v_bus_Q')","('inf_src2', 'v_bus_D')","('inf_src2', 'v_bus_Q')"
"('inf_src1', 'i_bus_d')",753.9822368615503,0.0,0.0,0.0,-660.5826151640122,363.4829047504455,0.0,0.0
"('inf_src1', 'i_bus_q')",0.0,753.9822368615503,0.0,0.0,-363.4829047504455,-660.5826151640122,0.0,0.0
"('inf_src2', 'i_bus_d')",0.0,0.0,1884.9555921538758,0.0,0.0,0.0,-1697.7212419691218,-819.0239123242931
"('inf_src2', 'i_bus_q')",0.0,0.0,0.0,1884.9555921538758,0.0,0.0,819.0239123242931,-1697.7212419691218
