bus,timepoint,generator_dispatch_MW,load_shedding_MW,load_MW,net_line_leaving_flow_MW
lima,t_1,90.0582035350247,-9.97494096631705e-9,0.0,90.05820352504989
santiago,t_1,-80.0,-9.974940966510371e-9,0.0,-80.00000000997504
