bus,timepoint,generator_dispatch_MVAR,load_shedding_MVAR,load_MVAR,net_line_leaving_flow_MVAR
lima,t_1,2.2903854129179724,-9.974940964406027e-9,0.0,2.2903854029429738
santiago,t_1,0.0,-9.974940967337148e-9,0.0,-9.974937433366244e-9
