gen_idx,bus_idx,p_min,p_max,q_min,q_max,p,q,bus_vmag,bus_vphase
inf_src_1,1,-2.0,2.0,-5.0,5.0,-0.8588382031635633,-0.43791422243408173,1.0,0.0
inf_src_2,2,1.0,1.0,0.74,0.75,1.0,0.7444551281638104,1.2768999990414063,20.66904479571431
