generator,scenario,Capacity_MW
319,sc1,157.5
320,sc1,0.7
321,sc1,0.7
322,sc1,2.9
323,sc1,2.9
324,sc1,7.9
325,sc1,1.9
326,sc1,3.1
327,sc1,4.1
328,sc1,10.0
329,sc1,3.6
330,sc1,3.6
331,sc1,3.6
332,sc1,1.9
333,sc1,1.9
334,sc1,1.9
335,sc1,2.4
336,sc1,1.4
337,sc1,12.7
338,sc1,139.5
339,sc1,23.9
340,sc1,12.1
341,sc1,1.0
342,sc1,55.0
343,sc1,19.6
344,sc1,24.9
345,sc1,24.9
346,sc1,23.1
347,sc1,23.1
348,sc1,23.1
349,sc1,23.1
350,sc1,1159.0
351,sc1,1164.0
352,sc1,150.0
353,sc1,150.0
354,sc1,37.1
355,sc1,37.1
356,sc1,74.5
357,sc1,74.5
358,sc1,74.5
359,sc1,3.0
360,sc1,14.0
361,sc1,14.0
362,sc1,18.0
363,sc1,2.5
364,sc1,2.5
365,sc1,2.5
366,sc1,2.5
367,sc1,2.5
368,sc1,2.5
369,sc1,38.6
370,sc1,1.0
371,sc1,4.9
372,sc1,4.5
373,sc1,4.5
374,sc1,9.9
375,sc1,5.1
376,sc1,3.0
377,sc1,0.6
378,sc1,10.9
379,sc1,10.9
380,sc1,10.9
381,sc1,3.4
382,sc1,1.0
383,sc1,1.0
384,sc1,1.0
385,sc1,2.5
386,sc1,2.5
387,sc1,3.5
388,sc1,3.9
389,sc1,3.9
390,sc1,37.7
391,sc1,60.5
392,sc1,8.4
393,sc1,8.4
394,sc1,8.4
395,sc1,8.4
396,sc1,8.4
397,sc1,8.4
398,sc1,50.4
399,sc1,18.0
400,sc1,27.9
401,sc1,27.9
402,sc1,26.8
403,sc1,40.0
404,sc1,42.5
405,sc1,22.0
406,sc1,55.0
407,sc1,55.0
408,sc1,6.0
409,sc1,6.0
410,sc1,6.0
411,sc1,6.0
412,sc1,6.0
413,sc1,50.0
414,sc1,27.4
415,sc1,27.4
416,sc1,2.0
417,sc1,13.2
418,sc1,24.0
419,sc1,63.0
420,sc1,128.0
421,sc1,49.8
422,sc1,49.8
423,sc1,49.8
424,sc1,44.0
425,sc1,118.7
426,sc1,55.2
427,sc1,24.9
428,sc1,24.9
429,sc1,55.0
430,sc1,55.0
431,sc1,55.0
432,sc1,9.5
433,sc1,3.3
434,sc1,3.3
435,sc1,3.3
436,sc1,3.3
437,sc1,3.3
438,sc1,3.3
439,sc1,3.3
440,sc1,3.3
441,sc1,3.3
442,sc1,60.5
443,sc1,58.0
444,sc1,17.4
445,sc1,0.8
446,sc1,0.8
447,sc1,0.8
448,sc1,0.8
449,sc1,90.0
450,sc1,40.0
451,sc1,3.5
452,sc1,18.8
453,sc1,9.9
454,sc1,9.9
455,sc1,9.9
456,sc1,8.7
457,sc1,6.0
458,sc1,4.5
459,sc1,1.0
460,sc1,1.0
461,sc1,5.9
462,sc1,5.9
463,sc1,19.2
464,sc1,45.3
465,sc1,10.5
466,sc1,4.8
467,sc1,1.5
468,sc1,1.5
469,sc1,1.5
470,sc1,8.7
471,sc1,5.2
472,sc1,5.2
473,sc1,42.4
474,sc1,42.4
475,sc1,40.3
476,sc1,9.1
477,sc1,40.7
478,sc1,5.2
479,sc1,9.3
480,sc1,90.8
481,sc1,42.4
482,sc1,55.5
483,sc1,49.5
484,sc1,1.2
485,sc1,1.2
486,sc1,3.0
487,sc1,23.1
488,sc1,13.1
489,sc1,16.5
490,sc1,16.5
491,sc1,25.8584348
492,sc1,17.84232
493,sc1,44.2179235
494,sc1,44.2179235
495,sc1,44.2179235
496,sc1,45.2522609
497,sc1,45.2522609
498,sc1,118.9488
499,sc1,118.9488
500,sc1,29.9
501,sc1,50.0
502,sc1,5.0
503,sc1,5.0
504,sc1,5.0
505,sc1,5.0
506,sc1,5.0
507,sc1,5.0
508,sc1,5.0
509,sc1,5.0
510,sc1,75.0
511,sc1,75.0
512,sc1,75.0
513,sc1,75.0
514,sc1,39.1
515,sc1,6.0
516,sc1,59.6
517,sc1,29.0
518,sc1,34.0
519,sc1,22.1
520,sc1,12.4
521,sc1,45.5
522,sc1,45.5
523,sc1,45.5
524,sc1,12.0
525,sc1,60.0
526,sc1,30.0
527,sc1,27.5
528,sc1,27.5
529,sc1,20.0
530,sc1,1.1
531,sc1,1.1
532,sc1,11.7
533,sc1,1.6
534,sc1,1.0
535,sc1,1.0
536,sc1,1.4
537,sc1,53.9
538,sc1,8.0
539,sc1,21.6
540,sc1,13.8
541,sc1,28.0
542,sc1,48.5
543,sc1,36.2
544,sc1,28.0
545,sc1,28.0
546,sc1,31.8
547,sc1,25.2
548,sc1,32.2
549,sc1,30.0
550,sc1,30.0
551,sc1,30.0
552,sc1,30.0
553,sc1,30.0
554,sc1,30.0
555,sc1,30.0
556,sc1,30.0
557,sc1,1.8
558,sc1,2.8
559,sc1,2.8
560,sc1,46.0
561,sc1,7.0
562,sc1,12.5
563,sc1,12.5
564,sc1,7.5
565,sc1,5.1
566,sc1,5.1
567,sc1,4.1
568,sc1,0.129292174
569,sc1,0.387876522
570,sc1,0.387876522
571,sc1,0.129292174
572,sc1,0.2
573,sc1,1.1
574,sc1,1.5
575,sc1,48.2
576,sc1,18.3
577,sc1,18.3
578,sc1,18.3
579,sc1,38.4
580,sc1,75.0
581,sc1,75.0
582,sc1,75.0
583,sc1,75.0
584,sc1,1.4
585,sc1,3.2
586,sc1,38.7
587,sc1,2.5
588,sc1,2.5
589,sc1,5.0
590,sc1,2.8
591,sc1,3.3
592,sc1,30.1
593,sc1,9.5
594,sc1,82.0
595,sc1,82.0
596,sc1,82.0
597,sc1,82.0
598,sc1,38.5
599,sc1,38.5
600,sc1,2.8
601,sc1,1.2
602,sc1,0.5
603,sc1,0.5
604,sc1,0.5
605,sc1,0.9
606,sc1,0.9
607,sc1,0.9
608,sc1,5.9
609,sc1,31.0
610,sc1,29.1
611,sc1,20.0
612,sc1,21.0
613,sc1,1.2
614,sc1,15.3
615,sc1,27.3
616,sc1,18.4
617,sc1,9.8
618,sc1,2.4
619,sc1,6.9
620,sc1,16.2
621,sc1,19.2
622,sc1,49.5
623,sc1,21.7
624,sc1,3.4
625,sc1,2.3
626,sc1,2.3
627,sc1,1.5
628,sc1,24.9
629,sc1,24.9
630,sc1,24.9
631,sc1,24.9
632,sc1,24.9
633,sc1,24.9
634,sc1,30.0
635,sc1,30.0
636,sc1,23.0
637,sc1,1.5
638,sc1,17.3
639,sc1,29.9
640,sc1,76.9
641,sc1,6.0
642,sc1,1.5
643,sc1,82.3
644,sc1,13.6
645,sc1,11.5
646,sc1,38.9
647,sc1,20.0
648,sc1,25.0
649,sc1,3.0
650,sc1,3.0
651,sc1,1.2
652,sc1,46.0
653,sc1,8.8
654,sc1,8.8
655,sc1,3.5
656,sc1,3.5
657,sc1,3.5
658,sc1,3.5
659,sc1,7.5
660,sc1,22.5
661,sc1,19.3
662,sc1,24.0
663,sc1,1.2
664,sc1,43.4
665,sc1,2.5
666,sc1,2.5
667,sc1,2.5
668,sc1,24.4
669,sc1,7.6
670,sc1,3.4
671,sc1,3.4
672,sc1,24.0
673,sc1,3.4
674,sc1,3.4
675,sc1,31.4
676,sc1,31.4
677,sc1,31.4
678,sc1,3.5
679,sc1,4.2
680,sc1,23.1
681,sc1,3.7
682,sc1,3.0
