bus,scenario,timepoint,load_shedding_MW
1,sc1,tp_1,0.0
1,sc1,tp_2,0.0
1,sc1,tp_3,0.0
2,sc1,tp_1,269.9999998912777
2,sc1,tp_2,70.00000000218564
2,sc1,tp_3,269.9999999070092
3,sc1,tp_1,0.0
3,sc1,tp_2,0.0
3,sc1,tp_3,0.0
4,sc1,tp_1,0.0
4,sc1,tp_2,44.13559499698518
4,sc1,tp_3,144.1355950746086
5,sc1,tp_1,0.0
5,sc1,tp_2,0.0
5,sc1,tp_3,0.0
