bus,timepoint,active_load_shedding_MW,reactive_load_shedding_MVAR
lima,t_1,-9.974940962958964e-9,-9.974940964327399e-9
santiago,t_1,-9.974940963212131e-9,-9.974940960835525e-9
chile,t_1,-9.974940962776663e-9,-9.974940963596793e-9
