bus,timepoint,generator_dispatch_MW,load_shedding_MW,load_MW,net_line_leaving_flow_MW
lima,t_1,2.5210380918718975,-9.97494087556889e-9,0.0,2.5210380819563976
santiago,t_1,2.5280790409531932,-9.974940876170638e-9,0.0,2.5280790309299497
chile,t_1,0.0,-9.974940875818014e-9,0.0,-9.857193741662398e-9
