,bus_idx,g,b,bus_vmag,bus_vphase,p,q
pa_rc_1,1,0.05,0.066666667,1.0,0.0,0.05,-0.066666667
pa_rc_2,2,0.05,0.066666667,1.1037048052538914,7.392353488655026,0.06090821485702651,-0.08121095354875675
