Index,"('infinite_sources_0', 'i_bus_d')","('infinite_sources_0', 'i_bus_q')","('pa_rc_0', 'v_bus_D')","('pa_rc_0', 'v_bus_Q')","('', 'x0')","('', 'x1')","('', 'x2')","('', 'x3')","('', 'x4')","('', 'x5')","('', 'x6')","('', 'x7')","('', 'x8')","('', 'x9')"
"('infinite_sources_0', 'i_bus_d')",-7.5398223686155035,376.99111843077515,-753.8652700643909,-13.280364960717803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('infinite_sources_0', 'i_bus_q')",-376.99111843077515,-7.5398223686155035,13.280364960717803,-753.8652700643909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('pa_rc_0', 'v_bus_D')",5653.989497212984,-99.60273670736983,-859.8027641110061,324.87483467699246,-2752.80227308725,2900.1445852157685,1153.3026954300476,-354.8396389264042,-1040.0023717743086,2730.3568866435985,691.491612282053,2601.3038066501344,3748.281817289966,654.7228737695758
"('pa_rc_0', 'v_bus_Q')",99.60273670736983,5653.989497212984,-310.1164232443604,53.50853901738657,-2900.144585200665,-2752.8022731039437,-402.7312451321662,-1424.3680360200383,271.73453763867144,-545.8528108822925,62.723348306794755,-3042.0732391380093,407.5271869664949,-5534.583525315325
"('', 'x0')",0.0,0.0,367.0403049135636,386.6859466289581,-7.5398223686154795,376.99111843077515,-6.1826117412731826e-12,6.324940271057959e-12,-1.8128031545845397e-11,7.716762583070652e-11,2.0709018916920384e-11,-2.933761277431553e-11,1.5989104291237192e-10,-5.2071643413346055e-11
"('', 'x1')",0.0,0.0,-386.685946628914,367.0403049135832,-376.9911184307749,-7.5398223686157575,2.6931229961954975e-11,-1.207530844944631e-11,9.883682220159146e-11,-2.4311093397603424e-10,-7.457638867586855e-11,-7.306929223468809e-11,-5.104868509950568e-10,-3.0291265832198115e-10
"('', 'x2')",0.0,0.0,-927.0870265012177,-374.72848184161,-2.7462710001637972e-9,2.5597530130679984e-9,-763.0838668921639,-41.03584128771831,-2652.742358976841,6512.502590688042,1984.1621808348918,1877.0679682294508,13418.271739627835,8295.584552616709
"('', 'x3')",0.0,0.0,305.98798762085977,-204.44574209370856,-1.717978512367472e-8,1.7880075394181346e-8,660.4281758926066,-199.8049143939728,765.8627428058462,-2887.9731570565464,-786.1794081836758,696.1175437221261,-5764.550807505477,546.8498675202862
"('', 'x4')",0.0,0.0,328.4851846062858,-94.66249615268602,2.955774461249157e-9,-3.162771183429957e-9,-24.68037435292598,102.18512578233697,-602.9196347059367,704.7252625235009,994.0021357595081,-6654.358902603572,4688.012472664637,3131.7447293782875
"('', 'x5')",0.0,0.0,809.4754211363323,369.26470278025795,3.365818493746427e-9,-3.15770004372897e-9,986.4092538443045,-413.67722659287824,2819.3285593565597,-8620.508057583189,-2200.916407043994,-4982.632705021411,-10369.979532744725,-8448.65134792994
"('', 'x6')",0.0,0.0,285.2471609631188,-341.30510513864584,-2.0903432570564196e-8,2.16780663450281e-8,173.71683238440087,-221.1196356430553,280.4401780778021,-1746.1632189014422,-1537.7079988193188,2965.0164733873116,-4665.932823228653,10539.500434350937
"('', 'x7')",0.0,0.0,-168.73119395694337,755.610572515807,8.144867864409714e-9,-8.35505055494946e-9,286.99410184223973,-110.61094608359525,2029.0125176983563,-2071.543195414391,-1229.75351186969,-2492.2485336264613,-6151.251932219735,-6158.309381417292
"('', 'x8')",0.0,0.0,560.4530671497196,-157.2795635091325,-3.392704149869982e-9,3.663254209160213e-9,547.7754045653704,-281.359925438831,973.9368847525227,-6400.237149716849,-1677.5701669184073,-430.1310561812618,-11020.526788588104,-5094.770570445822
"('', 'x9')",0.0,0.0,458.7729747469152,864.3256417051488,9.358157547864056e-9,-9.639359275127951e-9,131.00227776171087,-39.99510137512714,-25.00016499909424,-1317.3997848211814,-2063.318372205318,-750.8750163983138,-804.6046841116317,-4660.1610116879465
