Index,"('', 'u0')","('', 'u1')","('', 'u2')","('', 'u3')","('', 'u4')","('', 'u5')","('', 'u6')"
"('', 'y0')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y1')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y2')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y3')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y4')",0.0,0.0,0.10225200133215215,0.0065541457197906905,-0.009009329034463366,-0.0015346778608918937,-0.1534677860891894
"('', 'y5')",0.0,0.0,-0.013371370092036221,-0.059134061629070485,-0.19135054333364088,0.0005059332661237525,0.05059332661237531
"('', 'y6')",0.0,0.0,-0.08881459830081577,-0.04664121437115701,-0.06994141702681256,0.001414941022997916,0.14149410229979167
"('', 'y7')",0.0,0.0,0.0037841420828573853,0.0833748267843007,0.17855754153790182,-0.00034669951096950906,-0.034669951096950945
"('', 'y8')",0.0,0.0,-0.03711136274248721,-0.0031570291773172377,0.0014415231392425562,0.0005598678297230355,0.055986782972303556
"('', 'y9')",0.0,0.0,0.0025517716600411797,0.07820068795582218,0.1463083458146642,-0.00035030749893140526,-0.0350307498931406
"('', 'y10')",0.0,0.0,0.10225200133215233,0.006554145719791445,-0.009009329034462393,-0.0015346778608919074,-0.1534677860891908
"('', 'y11')",0.0,0.0,-0.013371370092041182,-0.05913406162906998,-0.19135054333363447,0.0005059332661239535,0.05059332661239553
