Index,"('infinite_sources_0', 'i_bus_d')","('infinite_sources_0', 'i_bus_q')","('pa_rc_0', 'v_bus_D')","('pa_rc_0', 'v_bus_Q')","('', 'x0')","('', 'x1')","('', 'x2')","('', 'x3')","('', 'x4')","('', 'x5')","('', 'x6')","('', 'x7')","('', 'x8')","('', 'x9')"
"('', 'y0')",0.9998448679671205,-0.01761363107968869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y1')",0.01761363107968869,0.9998448679671205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y2')",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y3')",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y4')",0.0,0.0,0.10204651186283406,0.00921618246274055,-0.48680232367468557,0.5128581652514956,-0.20394869530737575,0.06274942535824399,0.18391279902531296,-0.48283310787452305,-0.12228256527949227,-0.4600115126468678,-0.6628417581177242,-0.11578042470751748
"('', 'y5')",0.0,0.0,-0.011826042622104866,-0.05946238724980413,-0.5128581652541656,-0.48680232367173315,0.07121852080087464,0.25188357205347445,-0.04805321676689482,0.09652797054095362,-0.011091923311367088,0.5379566618635256,-0.07206662952717519,0.9787292560146121
"('', 'y6')",0.0,0.0,-0.08756916866852622,-0.048939518261166756,-1.0413490647416527e-12,1.053114228713776e-12,0.4740204635540574,-0.1528993586087443,-0.22272959937157102,0.5011112449328712,0.12140447884767741,-0.0633668642277595,1.1672211418109617,1.1137378349674898
"('', 'y7')",0.0,0.0,0.0016104560464266014,0.08344511910341823,2.6032719652819675e-12,-2.663674939331548e-12,-0.16784391489546766,-0.5165634784411008,0.0671069603102765,0.007937835083798833,-0.09026935029753745,-0.09408732262311506,-0.20420738193220322,-0.2790271397268276
"('', 'y8')",0.0,0.0,-0.0370165039717732,-0.004122925119298802,6.649371394656192e-15,-9.318669176575774e-15,-0.0033274765735895,0.009473500088458863,0.7654368648109926,0.5090362218958676,0.47909017321929137,-0.05532270466848802,0.19817760069161383,0.16156836565602659
"('', 'y9')",0.0,0.0,0.0005133205686470164,0.07824062650576194,2.118175689766313e-12,-2.188924599844292e-12,0.012152955248596208,0.015908254973458033,-0.2669560089668659,-0.41130691436176864,0.8667736197115808,-0.2043468571695436,-0.0738172871146665,-0.5046321713345656
"('', 'y10')",0.0,0.0,0.10204651186283423,0.009216182462741303,0.48680232367450205,-0.5128581652512731,-0.20394869530740875,0.06274942535828107,0.1839127990253154,-0.48283310787452827,-0.12228256527949405,-0.4600115126468719,-0.6628417581177317,-0.11578042470752326
"('', 'y11')",0.0,0.0,-0.011826042622109862,-0.059462387249803746,0.5128581652486023,0.4868023236774542,0.07121852080091268,0.25188357205351114,-0.04805321676691636,0.09652797054099806,-0.011091923311349672,0.5379566618635473,-0.07206662952705836,0.9787292560146486
