,"('gfli_b_1', 'v_dc_ref')","('gfli_b_1', 'i_bus_q_ref')","('gfli_b_1', 'i_dc_src')","('inf_src_1', 'v_ref_d')","('inf_src_1', 'v_ref_q')"
"('gfli_b_1', 'pi_cc_d')",-10.0,0.0,0.0,0.0,0.0
"('gfli_b_1', 'pi_cc_q')",0.0,5.0,0.0,0.0,0.0
"('gfli_b_1', 'i_bus_d')",-2513.274122871834,0.0,0.0,0.0,0.0
"('gfli_b_1', 'i_bus_q')",0.0,1256.637061435917,0.0,0.0,0.0
"('gfli_b_1', 'int_pll')",0.0,0.0,0.0,0.0,0.0
"('gfli_b_1', 'phase_pll')",0.0,0.0,0.0,0.0,0.0
"('gfli_b_1', 'pi_dc')",-4.0,0.0,0.0,0.0,0.0
"('gfli_b_1', 'v_dc')",4.7119250993623965,1.4724765935507487,75.39822368615503,0.0,0.0
"('inf_src_1', 'i_bus_d')",0.0,0.0,0.0,753.9822368615503,0.0
"('inf_src_1', 'i_bus_q')",0.0,0.0,0.0,0.0,753.9822368615503
"('pa_rc_1', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0
"('pa_rc_1', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0
"('pa_rc_2', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0
"('pa_rc_2', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0
"('se_rl_1', 'i_br_D')",0.0,0.0,0.0,0.0,0.0
"('se_rl_1', 'i_br_Q')",0.0,0.0,0.0,0.0,0.0
