Index,"('', 'u0')","('', 'u1')","('', 'u2')","('', 'u3')","('', 'u4')","('', 'u5')","('', 'u6')"
"('', 'y0')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y1')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y2')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y3')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y4')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y5')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y6')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y7')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y8')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y9')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y10')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y11')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
