timepoint,site,capacity_factor,technology,scenario
2035-01-01T00:00:00.000000-0800,pvu82,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu83,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu84,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu85,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu86,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu87,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu88,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu89,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu90,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu91,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu92,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu93,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu94,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu95,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu96,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu97,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu98,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu99,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu100,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu101,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu102,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu103,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu104,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu105,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu106,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu107,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu108,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu109,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu110,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu111,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu112,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu113,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu114,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu115,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu116,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu117,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu118,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu119,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu120,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu121,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu122,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu123,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu124,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu125,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu126,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu127,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu128,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu129,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu130,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu131,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu132,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu133,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu134,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu135,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu136,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu137,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu138,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu139,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu140,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu141,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu142,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu143,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu144,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu145,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu146,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu147,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu148,0,solar photovoltaic,sc1
