bus,scenario,timepoint,generator_dispatch_MW,storage_dispatch_MW,load_shedding_MW,load_MW,net_line_leaving_flow_MW
1,sc1,tp_1,0.0,0,0.0,10.0,-9.999999999999996
1,sc1,tp_2,30.108153078203003,0,0.0,20.0,10.108153078202987
1,sc1,tp_3,15.108153078202955,0,0.0,5.0,10.10815307820291
2,sc1,tp_1,0.0,0,270.0,300.0,-29.999999999999975
2,sc1,tp_2,0.0,0,70.00000000000001,100.0,-29.999999999999982
2,sc1,tp_3,0.0,0,270.00000000000006,300.0,-29.999999999999954
3,sc1,tp_1,317.8114478114479,0,0.0,300.0,17.81144781144785
3,sc1,tp_2,238.3935304234805,0,0.0,200.0,38.39353042348049
3,sc1,tp_3,138.3935304234806,0,0.0,100.0,38.393530423480605
4,sc1,tp_1,97.87878787878782,0,0.0,100.0,-2.121212121212208
4,sc1,tp_2,400.0,0,36.60646957651954,500.0,-63.393530423480506
4,sc1,tp_3,400.0,0,136.60646957651963,600.0,-63.393530423480584
5,sc1,tp_1,24.309764309764336,0,0.0,0.0,24.309764309764333
5,sc1,tp_2,54.89184692179701,0,0.0,10.0,44.891846921797004
5,sc1,tp_3,49.89184692179702,0,0.0,5.0,44.891846921797026
