bus,timepoint,active_load_shedding_MW,reactive_load_shedding_MVAR
richmond,t_1,-9.974940914837126e-9,-9.974940923328463e-9
sf,t_1,-9.974940919980115e-9,-9.974940935203385e-9
berkeley,t_1,-9.974940924528566e-9,-9.974940943661926e-9
oakland,t_1,-9.974940924200669e-9,-9.974940943735707e-9
san_jose,t_1,-9.974940922702062e-9,-9.974940942479289e-9
