id,type,generator,timepoint,active_power_MW,reactive_power_MVAR
0,infinite_sources,natural_gas,t_1,-196.47738300021132,-127.25659047178615
0,gfmi_c,battery,t_1,84.83398069817856,52.34959321797383
1,gfmi_c,solar,t_1,70.56453721505798,50.500264264547994
2,gfmi_c,wind,t_1,80.0,49.54072551342289
