bus,timepoint,generator_dispatch_MW,load_shedding_MW,load_MW,net_line_leaving_flow_MW
richmond,t_1,-196.47738300021132,-9.974940891534714e-9,0.0,-196.47738300928154
sf,t_1,84.83398069817856,-9.97494089637793e-9,0.0,84.83398068834254
berkeley,t_1,70.56453721505798,-9.974940899489713e-9,0.0,70.56453720511934
oakland,t_1,80.0,-9.974940899250612e-9,0.0,79.99999998988916
san_jose,t_1,0.0,-9.974940897254843e-9,0.0,-9.932099700933673e-9
