bus,timepoint,generator_dispatch_MVAR,load_shedding_MVAR,load_MVAR,net_line_leaving_flow_MVAR
richmond,t_1,-127.25659047178615,-9.974940964027145e-9,0.0,-127.25659048113612
sf,t_1,52.34959321797383,-9.974940965861081e-9,0.0,52.34959320892926
berkeley,t_1,50.500264264547994,-9.974940966335714e-9,0.0,50.5002642546207
oakland,t_1,49.54072551342289,-9.974940966150803e-9,0.0,49.54072550410781
san_jose,t_1,0.0,-9.974940965836398e-9,0.0,-9.976508250409011e-9
