id,bus,timepoint,voltage_magnitude_pu,voltage_angle_deg
0,richmond,t_1,1.0,0.0
1,sf,t_1,1.1164109201944314,3.8671393589515906
2,berkeley,t_1,1.2170157462217623,6.21919420349984
3,oakland,t_1,1.2124717004383632,6.314497940359742
4,san_jose,t_1,1.1494156716620456,4.606005025052328
