Index,"('', 'u0')","('', 'u1')","('', 'u2')","('', 'u3')","('', 'u4')","('', 'u5')","('', 'u6')"
"('', 'y0')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y1')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y2')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y3')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y4')",0.0,0.0,-0.013977623217449024,-0.04231024952701008,5.567405086741039e-6,0.00004489895863665754,0.004489895863665746
"('', 'y5')",0.0,0.0,0.08043274886311313,0.15578050517496306,-0.00002281919562650743,0.0008641791592521094,0.08641791592521093
"('', 'y6')",0.0,0.0,-0.05756160467524095,-0.12050988624197441,0.000015473589056620046,-0.0009872439783498567,-0.09872439783498567
"('', 'y7')",0.0,0.0,0.18601456140759992,0.32425299969352356,-0.000042179241924186607,0.0017974267179635425,0.17974267179635417
"('', 'y8')",0.0,0.0,0.4464152247561921,0.3642377771311926,-0.0000503437421853123,0.004492634189271936,0.4492634189271937
"('', 'y9')",0.0,0.0,-0.13799211112776755,0.014319787670833148,0.000020887288044563206,-0.0013234029762172227,-0.1323402976217222
"('', 'y10')",0.0,0.0,-0.013977623217448932,-0.04231024952700992,5.567405086741011e-6,0.00004489895863665811,0.004489895863665799
"('', 'y11')",0.0,0.0,0.08043274886311326,0.1557805051749633,-0.00002281919562650747,0.0008641791592521111,0.08641791592521114
